#,X,Y,Z,R,A,B
1416379382.187, 0, 0, 32767, 0, 0, 0 
1416379382.271, 0, 0, 32767, 0, 0, 0 
1416379382.355, 0, 0, 32767, 0, 0, 0 
1416379382.439, 0, 0, 32767, 0, 0, 0 
1416379382.523, 0, 0, 32767, 0, 0, 0 
1416379382.607, 0, 0, 32767, 0, 0, 0 
1416379382.691, 0, 0, 32767, 0, 0, 0 
1416379382.775, 0, 0, 32767, 0, 0, 0 
1416379382.860, 0, 0, 32767, 0, 0, 0 
1416379382.927, 0, 0, 32767, 0, 0, 0 
1416379383.011, 0, 0, 32767, 0, 0, 0 
1416379383.095, 0, 0, 32767, 0, 0, 0 
1416379383.179, 0, 0, 32767, 0, 0, 0 
1416379383.263, 0, 0, 32767, 0, 0, 0 
1416379383.347, 0, 0, 32767, 0, 0, 0 
1416379383.432, 0, 0, 32767, 0, 0, 0 
1416379383.516, 0, 0, 32767, 0, 0, 0 
1416379383.600, 0, 0, 32767, 0, 0, 0 
1416379383.684, 0, 0, 32767, 0, 0, 0 
1416379383.768, 0, 0, 32767, 0, 0, 0 
1416379383.852, 0, 0, 32767, 0, 0, 0 
1416379383.936, 0, 0, 32767, 0, 0, 0 
1416379384.021, 0, 0, 32767, 0, 0, 0 
1416379384.104, 0, 0, 32767, 0, 0, 0 
1416379384.189, 0, 0, 32767, 0, 0, 0 
1416379384.273, 0, 0, 32767, 0, 0, 0 
1416379384.357, 0, 0, 32767, 0, 0, 0 
1416379384.441, 0, 0, 32767, 0, 0, 0 
1416379384.525, 0, 0, 32767, 0, 0, 0 
1416379384.609, 0, 0, 32767, 0, 0, 0 
1416379384.693, 0, 0, 32767, 0, 0, 0 
1416379384.777, 0, 0, 32767, 0, 0, 0 
1416379384.861, 0, 0, 32767, 0, 0, 0 
1416379384.945, 0, 0, 32767, 0, 0, 0 
1416379385.012, 0, 0, 32767, 0, 0, 0 
1416379385.096, 0, 0, 32767, 0, 0, 0 
1416379385.180, 0, 0, 32767, 0, 0, 0 
1416379385.265, 0, 0, 32767, 0, 0, 0 
1416379385.349, 0, 0, 32767, 0, 0, 0 
